1,20.0,2025-12-05T17:28:04.055906687,Transfer,1020,1021,520.0
2,100.0,2025-12-05T17:42:10.367597712,Transfer,1027,1029,100.0
3,200.0,2025-12-05T17:45:15.059798747,Transfer,1020,1029,200.0
4,20.0,2025-12-05T17:48:16.898310593,Transfer,1020,1029,20.0
5,200.0,2025-12-05T17:49:23.522023715,Transfer,1020,1029,200.0
6,46.0,2025-12-05T17:50:37.102074781,Transfer,1020,1026,46.0
7,10.0,2025-12-05T17:53:50.717140769,Transfer,1020,1029,10.0
8,10.0,2025-12-05T17:56:14.694720077,Transfer,1020,1029,10.0
9,20.0,2025-12-05T18:01:05.339093577,Transfer,1020,1029,20.0
10,10.0,2025-12-05T18:02:32.376441796,Transfer,1020,1029,10.0
11,50.0,2025-12-05T18:03:54.395434734,Transfer,1020,1029,50.0
12,50.0,2025-12-05T18:04:58.598161391,Transfer,1020,1029,50.0
13,100.0,2025-12-05T18:08:22.493424456,Transfer,1020,1029,100.0
14,100.0,2025-12-05T18:10:29.685229725,Transfer,1020,1029,200.0
15,50.0,2025-12-05T18:17:39.303249238,Transfer,1027,1029,250.0
16,20.0,2025-12-05T18:23:41.258054209,Transfer,1027,1029,270.0
